k,minimum_size,maximum_size,singleton_count,clusters_below_10,clusters_below_1pct,size_1,size_2,size_3,size_4,size_5,size_6,size_7,size_8,size_9,size_10,size_11,size_12,size_13,size_14,size_15,size_16,size_17,size_18,size_19,size_20,size_21,size_22,size_23,size_24,size_25,size_26,size_27,size_28,size_29,size_30
2,14951,15049,0,0,0,15049,14951,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3274,15049,0,0,0,15049,11677,3274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3274,10000,0,0,0,10000,8379,8347.0,3274.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3274,8335,0,0,0,8335,6677,6665.0,5049.0,3274.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,3274,6739,0,0,0,6739,6683,5004.0,4996.0,3304.0,3274.0,,,,,,,,,,,,,,,,,,,,,,,,
7,1696,6683,0,0,0,6683,5004,4996.0,4994.0,3353.0,3274.0,1696.0,,,,,,,,,,,,,,,,,,,,,,,
8,1669,5049,0,0,0,5049,4996,4994.0,3375.0,3335.0,3308.0,3274.0,1669.0,,,,,,,,,,,,,,,,,,,,,,
9,1627,6683,0,0,0,6683,4996,4994.0,3353.0,3335.0,1696.0,1669.0,1647.0,1627.0,,,,,,,,,,,,,,,,,,,,,
10,1627,6683,0,0,0,6683,5004,3353.0,3349.0,3348.0,1696.0,1647.0,1647.0,1646.0,1627.0,,,,,,,,,,,,,,,,,,,,
11,1627,4996,0,0,0,4996,3375,3353.0,3335.0,3308.0,3304.0,1696.0,1690.0,1669.0,1647.0,1627.0,,,,,,,,,,,,,,,,,,,
12,1627,5000,0,0,0,5000,3353,3349.0,3335.0,3304.0,1696.0,1690.0,1683.0,1669.0,1647.0,1647.0,1627.0,,,,,,,,,,,,,,,,,,
13,1625,3375,0,0,0,3375,3353,3349.0,3348.0,3335.0,1696.0,1683.0,1669.0,1647.0,1647.0,1646.0,1627.0,1625.0,,,,,,,,,,,,,,,,,
14,1625,3375,0,0,0,3375,3349,3335.0,3305.0,1706.0,1696.0,1690.0,1683.0,1669.0,1647.0,1647.0,1646.0,1627.0,1625.0,,,,,,,,,,,,,,,,
15,1625,3375,0,0,0,3375,3349,3335.0,1706.0,1696.0,1690.0,1683.0,1669.0,1658.0,1647.0,1647.0,1647.0,1646.0,1627.0,1625.0,,,,,,,,,,,,,,,
16,1625,3349,0,0,0,3349,3335,1706.0,1696.0,1691.0,1690.0,1684.0,1683.0,1669.0,1658.0,1647.0,1647.0,1647.0,1646.0,1627.0,1625.0,,,,,,,,,,,,,,
17,1625,3335,0,0,0,3335,1706,1696.0,1691.0,1690.0,1684.0,1684.0,1683.0,1669.0,1665.0,1658.0,1647.0,1647.0,1647.0,1646.0,1627.0,1625.0,,,,,,,,,,,,,
18,1625,1706,0,0,0,1706,1696,1691.0,1690.0,1684.0,1684.0,1683.0,1673.0,1669.0,1665.0,1662.0,1658.0,1647.0,1647.0,1647.0,1646.0,1627.0,1625.0,,,,,,,,,,,,
19,836,1696,0,0,0,1696,1691,1690.0,1684.0,1684.0,1683.0,1673.0,1669.0,1665.0,1662.0,1658.0,1647.0,1647.0,1647.0,1646.0,1627.0,1625.0,870.0,836.0,,,,,,,,,,,
20,772,1696,0,0,0,1696,1690,1684.0,1684.0,1683.0,1673.0,1669.0,1665.0,1662.0,1658.0,1647.0,1647.0,1647.0,1646.0,1627.0,1625.0,934.0,871.0,820.0,772.0,,,,,,,,,,
21,758,1706,0,0,0,1706,1696,1690.0,1684.0,1683.0,1673.0,1669.0,1665.0,1662.0,1658.0,1647.0,1647.0,1647.0,1646.0,1625.0,926.0,898.0,840.0,793.0,787.0,758.0,,,,,,,,,
22,784,1696,0,0,0,1696,1691,1690.0,1684.0,1684.0,1673.0,1669.0,1665.0,1662.0,1658.0,1647.0,1647.0,1627.0,1625.0,894.0,888.0,862.0,828.0,819.0,818.0,789.0,784.0,,,,,,,,
23,773,1706,0,0,0,1706,1696,1691.0,1690.0,1684.0,1683.0,1673.0,1665.0,1662.0,1658.0,1647.0,1647.0,1647.0,892.0,879.0,852.0,832.0,828.0,818.0,795.0,792.0,790.0,773.0,,,,,,,
24,737,1696,0,0,0,1696,1684,1683.0,1673.0,1669.0,1665.0,1658.0,1647.0,1647.0,1647.0,1627.0,1625.0,947.0,939.0,890.0,889.0,871.0,869.0,837.0,801.0,791.0,757.0,751.0,737.0,,,,,,
25,768,1706,0,0,0,1706,1690,1684.0,1684.0,1683.0,1669.0,1665.0,1662.0,1658.0,1647.0,1627.0,879.0,875.0,872.0,868.0,867.0,854.0,831.0,824.0,816.0,816.0,806.0,778.0,771.0,768.0,,,,,
26,730,1706,0,0,0,1706,1696,1684.0,1683.0,1673.0,1665.0,1662.0,1658.0,1647.0,1647.0,954.0,911.0,886.0,884.0,872.0,864.0,830.0,817.0,813.0,812.0,807.0,783.0,779.0,774.0,763.0,730.0,,,,
