k,minimum_size,maximum_size,singleton_count,clusters_below_10,clusters_below_1pct,size_1,size_2,size_3,size_4,size_5,size_6,size_7,size_8,size_9,size_10,size_11,size_12,size_13,size_14,size_15,size_16,size_17,size_18,size_19,size_20,size_21,size_22,size_23,size_24,size_25,size_26,size_27,size_28,size_29,size_30
2,3274,26726,0,0,0,26726,3274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1627,18346,0,0,0,18346,10027,1627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1627,15012,0,0,0,15012,6696,6665.0,1627.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1627,11677,0,0,0,11677,6696,5004.0,4996.0,1627.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,1627,6683,0,0,0,6683,6641,5049.0,5004.0,4996.0,1627.0,,,,,,,,,,,,,,,,,,,,,,,,
7,1627,6683,0,0,0,6683,6641,5004.0,4996.0,3402.0,1647.0,1627.0,,,,,,,,,,,,,,,,,,,,,,,
8,1627,6700,0,0,0,6700,5000,4996.0,4994.0,3353.0,1683.0,1647.0,1627.0,,,,,,,,,,,,,,,,,,,,,,
9,1627,5011,0,0,0,5011,5004,5000.0,4996.0,3386.0,1683.0,1647.0,1646.0,1627.0,,,,,,,,,,,,,,,,,,,,,
10,1625,5011,0,0,0,5011,5004,4996.0,3386.0,3375.0,1683.0,1647.0,1646.0,1627.0,1625.0,,,,,,,,,,,,,,,,,,,,
11,1625,5011,0,0,0,5011,5004,4996.0,3375.0,1696.0,1690.0,1683.0,1647.0,1646.0,1627.0,1625.0,,,,,,,,,,,,,,,,,,,
12,1625,5004,0,0,0,5004,4996,3375.0,3305.0,1706.0,1696.0,1690.0,1683.0,1647.0,1646.0,1627.0,1625.0,,,,,,,,,,,,,,,,,,
13,1625,5004,0,0,0,5004,3375,3349.0,3305.0,1706.0,1696.0,1690.0,1683.0,1647.0,1647.0,1646.0,1627.0,1625.0,,,,,,,,,,,,,,,,,
14,1625,3375,0,0,0,3375,3349,3335.0,3305.0,1706.0,1696.0,1690.0,1683.0,1669.0,1647.0,1647.0,1646.0,1627.0,1625.0,,,,,,,,,,,,,,,,
15,1625,3375,0,0,0,3375,3349,3335.0,1706.0,1696.0,1690.0,1683.0,1669.0,1658.0,1647.0,1647.0,1647.0,1646.0,1627.0,1625.0,,,,,,,,,,,,,,,
16,1625,3375,0,0,0,3375,3335,1706.0,1696.0,1690.0,1684.0,1683.0,1669.0,1665.0,1658.0,1647.0,1647.0,1647.0,1646.0,1627.0,1625.0,,,,,,,,,,,,,,
17,1625,3335,0,0,0,3335,1706,1696.0,1691.0,1690.0,1684.0,1684.0,1683.0,1669.0,1665.0,1658.0,1647.0,1647.0,1647.0,1646.0,1627.0,1625.0,,,,,,,,,,,,,
18,1625,1706,0,0,0,1706,1696,1691.0,1690.0,1684.0,1684.0,1683.0,1673.0,1669.0,1665.0,1662.0,1658.0,1647.0,1647.0,1647.0,1646.0,1627.0,1625.0,,,,,,,,,,,,
19,758,1706,0,0,0,1706,1696,1691.0,1690.0,1684.0,1683.0,1673.0,1669.0,1665.0,1662.0,1658.0,1647.0,1647.0,1647.0,1646.0,1627.0,1625.0,926.0,758.0,,,,,,,,,,,
20,758,1706,0,0,0,1706,1696,1691.0,1690.0,1684.0,1683.0,1673.0,1669.0,1665.0,1658.0,1647.0,1647.0,1647.0,1646.0,1627.0,1625.0,926.0,876.0,786.0,758.0,,,,,,,,,,
21,737,1706,0,0,0,1706,1696,1691.0,1690.0,1684.0,1683.0,1673.0,1669.0,1665.0,1662.0,1647.0,1647.0,1647.0,1646.0,1625.0,890.0,879.0,838.0,820.0,805.0,737.0,,,,,,,,,
22,737,1706,0,0,0,1706,1696,1691.0,1690.0,1684.0,1683.0,1673.0,1669.0,1665.0,1662.0,1647.0,1647.0,1646.0,1625.0,890.0,879.0,854.0,838.0,820.0,805.0,793.0,737.0,,,,,,,,
23,737,1706,0,0,0,1706,1696,1691.0,1690.0,1684.0,1683.0,1673.0,1669.0,1665.0,1662.0,1647.0,1646.0,1625.0,890.0,879.0,854.0,841.0,838.0,820.0,806.0,805.0,793.0,737.0,,,,,,,
24,737,1706,0,0,0,1706,1696,1691.0,1690.0,1684.0,1683.0,1673.0,1669.0,1665.0,1662.0,1647.0,1625.0,890.0,879.0,854.0,841.0,838.0,824.0,822.0,820.0,806.0,805.0,793.0,737.0,,,,,,
25,737,1706,0,0,0,1706,1696,1691.0,1690.0,1684.0,1683.0,1673.0,1669.0,1665.0,1662.0,1625.0,890.0,879.0,870.0,854.0,841.0,838.0,824.0,822.0,820.0,806.0,805.0,793.0,777.0,737.0,,,,,
26,737,1706,0,0,0,1706,1696,1691.0,1684.0,1683.0,1673.0,1669.0,1665.0,1662.0,1625.0,900.0,890.0,879.0,870.0,854.0,841.0,838.0,824.0,822.0,820.0,806.0,805.0,793.0,790.0,777.0,737.0,,,,
