timestamp,plant_id,soil_moisture_percent,temperature_c,humidity_percent,light_lux
281592,1,50,24.5,68,533
282209,2,48,24.5,68,533
282720,3,75,24.5,68,533
283331,4,62,24.5,68,533
283942,5,35,24.5,68,533
284553,6,75,24.5,68,533
285164,7,50,24.5,68,533
285775,8,40,24.5,68,533
286386,9,30,24.5,68,533
286997,10,55,24.5,68,533
287608,11,65,24.5,68,533
288219,12,45,24.5,68,533
288830,13,70,24.5,68,533
289441,14,20,24.5,68,533
290052,15,85,24.5,68,533
290663,16,10,24.5,68,533
291274,0,50,24.5,68,533
291885,17,48,24.5,68,533
292496,3,101,24.5,68,533
293107,4,62,24.5,68,533
293718,5,50,24.5,105,533
294329,6,75,24.5,68,533
294940,7,50,-50,68,533
295551,8,40,24.5,68,1200
296162,9,abc,24.5,68,533
296773,10,50,hello,68,533
297384,11,50,24.5,68,lux
297995,12,50,24.5,68
298606,13,50,24.5,68,533,EXTRA
299217,14,-1,24.5,68,533
299828,15,150,24.5,68,533
300439,16,50,24.5,-1,533
301050,1,50,24.5,101,533
301661,2,50,-41,68,533
302272,3,50,81,68,533
302883,4,50,24.5,68,-1
303494,5,50,24.5,68,1001
304105,6,50,24.5,68,533
