timestamp,node_id,session_id,sampling_point,plant_id,soil,temperature,humidity,light
2026-08-28T07:00:00,NODE-01,1,1,1,65.6,22.2,53.3,383.9
2026-08-28T07:00:07,NODE-02,1,2,2,69.5,27.4,71.8,302.2
2026-08-28T07:00:14,NODE-03,1,3,3,56.9,22.2,51.6,553.2
2026-08-28T07:00:21,NODE-04,1,4,4,41.1,23.6,64.5,577.0
2026-08-28T07:00:28,NODE-01,1,5,5,48.8,26.7,69.3,253.9
2026-08-28T07:00:35,NODE-02,1,6,6,72.2,27.6,55.2,343.3
2026-08-28T07:00:42,NODE-03,1,1,7,78.3,24.7,47.8,308.0
2026-08-28T07:00:49,NODE-04,1,2,8,73.9,26.8,69.2,687.8
2026-08-28T07:00:56,NODE-01,1,3,9,61.4,29.8,56.4,581.2
2026-08-28T07:01:03,NODE-02,1,4,10,73.2,26.9,70.9,596.4
2026-08-28T07:01:10,NODE-03,2,5,11,68.2,22.4,51.8,423.6
2026-08-28T07:01:17,NODE-04,2,6,12,43.2,23.9,48.0,416.8
2026-08-28T07:01:24,NODE-01,2,1,13,65.4,24.9,56.1,375.7
2026-08-28T07:01:31,NODE-02,2,2,14,50.7,29.5,64.4,615.5
2026-08-28T07:01:38,NODE-03,2,3,15,46.8,27.8,49.9,477.7
2026-08-28T07:01:45,NODE-04,2,4,16,79.6,27.1,61.7,660.8
2026-08-28T07:01:52,NODE-01,2,5,1,73.7,28.2,51.9,269.3
2026-08-28T07:01:59,NODE-02,2,6,2,52.6,24.1,51.3,815.7
2026-08-28T07:02:06,NODE-03,2,1,3,75.1,24.5,64.7,487.4
2026-08-28T07:02:13,NODE-04,2,2,4,76.6,25.7,52.9,398.0
2026-08-28T07:02:20,NODE-01,2,3,5,62.5,24.1,62.5,788.7,EXTRA
2026-08-28T07:02:27,NODE-02,3,4,6,56.0,23.8,74.9,555.7,EXTRA
2026-08-28T07:02:34,NODE-03,4,5,7,43.6,22.4,48.3,626.5,EXTRA
2026-08-28T07:02:41,NODE-04,5,6,8,71.7,25.4,46.9,479.0,EXTRA
2026-08-28T07:02:48,NODE-01,1,1,9,79.8,26.2,74.1,766.5,EXTRA
2026-08-28T07:02:55,NODE-02,2,2,10,40.5,27.8,65.5,572.2,EXTRA
2026-08-28T07:03:02,NODE-03,3,3,11,50.7,27.1,48.3,510.9,EXTRA
2026-08-28T07:03:09,NODE-04,4,4,12,58.1,29.6,71.3,408.0,EXTRA
2026-08-28T07:03:16,NODE-01,5,5,13,60.0,23.4,72.4,772.3,EXTRA
2026-08-28T07:03:23,NODE-02,1,6,14,51.9,27.1,63.3,341.7,EXTRA
2026-08-28T07:03:30,NODE-03,2,1,15,70.5,26.3,68.4,568.2,EXTRA
2026-08-28T07:03:37,NODE-04,3,2,16,40.0,24.6,45.6,807.5,EXTRA
2026-08-28T07:03:44,NODE-01,abc,3,1,75.1,28.7,54.2,284.8
2026-08-28T07:03:51,NODE-02,abc,4,2,75.1,29.6,47.6,541.6
2026-08-28T07:03:58,NODE-03,abc,5,3,42.8,28.1,68.0,327.0
2026-08-28T07:04:05,NODE-04,abc,6,4,59.0,26.4,53.0,773.5
2026-08-28T07:04:12,NODE-01,abc,1,5,56.9,23.7,61.2,688.0
2026-08-28T07:04:19,NODE-02,abc,2,6,48.0,24.5,74.9,639.9
2026-08-28T07:04:26,NODE-03,abc,3,7,57.5,26.1,48.6,384.8
2026-08-28T07:04:33,NODE-04,abc,4,8,53.5,26.7,51.9,382.1
2026-08-28T07:04:40,NODE-01,abc,5,9,42.8,27.0,51.9,793.3
2026-08-28T07:04:47,NODE-02,abc,6,10,74.4,22.6,52.1,651.4
2026-08-28T07:04:54,NODE-03,abc,1,11,48.6,23.1,73.1,592.6
2026-08-28T07:05:01,NODE-04,abc,2,12,58.9,28.3,69.2,364.2
2026-08-28T07:05:08,NODE-01,1,x,13,43.9,25.4,57.7,530.2
2026-08-28T07:05:15,NODE-02,2,x,14,69.2,27.4,74.5,309.1
