record_id,timestamp,plant_id,soil_moisture_percent,temperature_c,humidity_percent,light_lux
R000001,281592,1,50.0,24.5,68.0,533.0
R000002,282209,2,48.0,24.5,68.0,533.0
R000003,282720,3,75.0,24.5,68.0,533.0
R000004,283331,4,62.0,24.5,68.0,533.0
R000005,283942,5,35.0,24.5,68.0,533.0
R000006,284553,6,75.0,24.5,68.0,533.0
R000007,285164,7,50.0,24.5,68.0,533.0
R000008,285775,8,40.0,24.5,68.0,533.0
R000009,286386,9,30.0,24.5,68.0,533.0
R000010,286997,10,55.0,24.5,68.0,533.0
R000011,287608,11,65.0,24.5,68.0,533.0
R000012,288219,12,45.0,24.5,68.0,533.0
R000013,288830,13,70.0,24.5,68.0,533.0
R000014,289441,14,20.0,24.5,68.0,533.0
R000015,290052,15,85.0,24.5,68.0,533.0
R000016,290663,16,10.0,24.5,68.0,533.0
R000020,293107,4,62.0,24.5,68.0,533.0
R000022,294329,6,75.0,24.5,68.0,533.0
R000038,304105,6,50.0,24.5,68.0,533.0
2026-08-28T10:00:00,1,NODE_01,3,7,45.2,23.1,60.5,512.0
2026-08-28T10:00:00,1,NODE_01,3,7,45.2,23.1,60.5,512.0
